Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA MARIA DE NIEVA
Departamento :,AMAZONAS,Provincia :,CONDORCANQUI,Distrito :,NIEVA
Latitud :,4°49'49.4'',Longitud :,77°56'21.4'',Altitud :,225 msnm.
Tipo :,CO - Meteorológica,Código :,104060
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-04-01,31.9,21,91.6,21.4
2020-04-02,30.3,22.5,91.2,0.0
2020-04-03,32.8,22.5,90.3,11.6
2020-04-04,32.4,22.3,85.6,6.6
2020-04-05,31.2,22,90.3,11.2
2020-04-06,30.8,21.1,93.2,0.0
2020-04-07,32.1,22.4,91.2,19.2
2020-04-08,31.3,21.7,89.6,0.0
2020-04-09,32.7,21.4,91.4,0.0
2020-04-10,31.9,22.1,93.5,2.6
2020-04-11,30.4,21.7,92.3,6.8
2020-04-12,33.2,22.6,91.6,14.6
2020-04-13,32.3,21.8,93.1,0.0
2020-04-14,34.5,23.2,91.7,12.0
2020-04-15,31,21.3,90.1,4.4
2020-04-16,29.4,21.7,90.8,15.8
2020-04-17,31.9,21,92.8,13.2
2020-04-18,29.5,21.5,91.0,5.8
2020-04-19,34.7,21.8,90.2,0.0
2020-04-20,34.2,22.5,92.1,0.0
2020-04-21,30.3,23.2,92.4,13.0
2020-04-22,33.1,22.5,91.9,3.9
2020-04-23,31.7,22,92.2,7.2
2020-04-24,30.2,23.1,92.1,10.0
2020-04-25,31.3,21.6,91.7,0.0
2020-04-26,28.5,21.8,92.5,9.0
2020-04-27,S/D,21.2,S/D,S/D
2020-04-28,30.5,22.4,90.3,0.0
2020-04-29,31.6,21.8,92.0,9.3
2020-04-30,29.8,21,91.9,8.4
2020-05-01,30.5,22.3,94.2,12.3
