Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : MALINOWSKY
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,INAMBARI
Latitud :,12°56'2.8'',Longitud :,69°31'3'',Altitud :,220 msnm.
Tipo :,EMA - Meteorológica,Código :,47E8336C
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/10/01,00:00,19.9,0.0,99,332,0.0
2022/10/01,01:00,19.8,0.0,99,20,0.0
2022/10/01,02:00,19.7,0.0,99,20,0.0
2022/10/01,03:00,19.4,0.0,99,20,0.0
2022/10/01,04:00,19.2,0.0,99,20,0.0
2022/10/01,05:00,19.1,0.0,99,20,0.0
2022/10/01,06:00,18.9,0.0,99,33,0.0
2022/10/01,07:00,19.1,0.0,100,348,0.0
2022/10/01,08:00,20.2,0.0,99,324,0.0
2022/10/01,09:00,22.6,0.0,88,221,0.0
2022/10/01,10:00,25.8,0.0,74,230,0.3
2022/10/01,11:00,29.3,0.0,62,141,0.0
2022/10/01,12:00,31.0,0.0,56,192,0.4
2022/10/01,13:00,31.3,0.0,54,160,0.0
2022/10/01,14:00,32.4,0.0,52,86,0.1
2022/10/01,15:00,32.4,0.0,53,220,0.4
2022/10/01,16:00,32.3,0.0,50,231,0.2
2022/10/01,17:00,30.1,0.0,57,38,0.0
2022/10/01,18:00,28.1,0.0,71,36,0.0
2022/10/01,19:00,26.1,0.0,82,293,0.0
2022/10/01,20:00,24.5,0.0,92,293,0.0
2022/10/01,21:00,23.7,0.0,96,42,0.0
2022/10/01,22:00,22.9,0.0,97,33,0.0
2022/10/01,23:00,22.5,0.0,98,33,0.0
2022/10/02,00:00,22.1,0.0,98,19,0.0
2022/10/02,01:00,21.7,0.0,99,11,0.0
2022/10/02,02:00,21.4,0.0,99,313,0.0
2022/10/02,03:00,21.1,0.0,99,350,0.0
