Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : MALINOWSKY
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,INAMBARI
Latitud :,12°56'2.8'',Longitud :,69°31'3'',Altitud :,220 msnm.
Tipo :,EMA - Meteorológica,Código :,47E8336C
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/07/01,00:00,21.1,0.0,99,6,0.0
2022/07/01,01:00,20.8,0.0,100,327,0.0
2022/07/01,02:00,20.5,0.0,100,360,0.0
2022/07/01,03:00,20.5,0.0,100,21,0.1
2022/07/01,04:00,20.3,0.0,100,360,0.0
2022/07/01,05:00,20.3,0.0,100,7,0.0
2022/07/01,06:00,19.9,0.0,100,15,0.0
2022/07/01,07:00,19.7,0.0,100,15,0.0
2022/07/01,08:00,19.9,0.0,100,1,0.0
2022/07/01,09:00,20.9,0.0,99,233,0.0
2022/07/01,10:00,23.4,0.0,90,210,0.2
2022/07/01,11:00,26.1,0.0,83,198,0.0
2022/07/01,12:00,28.5,0.0,74,144,0.2
2022/07/01,13:00,30.0,0.0,69,355,0.3
2022/07/01,14:00,29.1,0.0,74,104,0.1
2022/07/01,15:00,30.1,0.0,66,223,0.3
2022/07/01,16:00,29.4,0.0,72,281,0.2
2022/07/01,17:00,27.8,0.0,78,359,0.2
2022/07/01,18:00,26.3,0.0,86,76,0.0
2022/07/01,19:00,25.0,0.0,94,54,0.0
2022/07/01,20:00,24.0,0.0,98,54,0.0
2022/07/01,21:00,23.2,0.0,99,54,0.0
2022/07/01,22:00,22.6,0.0,99,54,0.0
2022/07/01,23:00,22.3,0.0,99,54,0.0
2022/07/02,00:00,22.3,0.0,99,54,0.0
2022/07/02,01:00,21.9,0.0,99,9,0.0
2022/07/02,02:00,21.5,0.0,99,9,0.0
2022/07/02,03:00,21.2,0.0,99,28,0.0
2022/07/02,04:00,20.9,0.0,100,345,0.0
2022/07/02,05:00,20.9,0.0,100,345,0.0
2022/07/02,06:00,20.9,0.0,100,42,0.0
2022/07/02,07:00,21.0,0.0,100,17,0.0
2022/07/02,08:00,21.1,0.0,100,271,0.0
2022/07/02,09:00,21.9,0.0,99,221,0.0
2022/07/02,10:00,24.9,0.0,86,266,0.2
2022/07/02,11:00,28.6,0.0,74,191,0.3
2022/07/02,12:00,30.3,0.0,72,255,0.2
2022/07/02,13:00,30.9,0.0,72,298,0.2
2022/07/02,14:00,30.9,0.0,71,336,0.2
2022/07/02,15:00,30.9,0.0,70,21,0.2
2022/07/02,16:00,30.4,0.0,72,34,0.3
2022/07/02,17:00,28.7,0.0,83,32,0.0
2022/07/02,18:00,27.8,0.0,90,162,0.0
2022/07/02,19:00,26.2,0.0,95,57,0.0
2022/07/02,20:00,24.8,0.0,97,60,0.0
2022/07/02,21:00,24.1,0.0,98,57,0.0
2022/07/02,22:00,23.6,0.0,99,306,0.0
2022/07/02,23:00,23.3,0.0,99,314,0.0
2022/07/03,00:00,23.0,0.0,99,313,0.0
2022/07/03,01:00,22.9,0.0,99,314,0.0
2022/07/03,02:00,22.6,0.0,99,355,0.0
2022/07/03,03:00,22.1,0.0,99,351,0.0
2022/07/03,04:00,21.8,0.0,100,343,0.0
2022/07/03,05:00,21.6,0.0,100,2,0.0
2022/07/03,06:00,21.5,0.0,100,354,0.0
2022/07/03,07:00,21.3,0.0,100,354,0.0
2022/07/03,08:00,21.1,0.0,100,349,0.0
2022/07/03,09:00,22.1,0.0,99,259,0.0
2022/07/03,10:00,25.1,0.0,86,178,0.2
2022/07/03,11:00,28.0,0.0,79,147,0.2
